"filename", "language", "Dart", "comment", "blank", "total"
"c:\dev\hour_flow\lib\consnats.dart", "Dart", 3, 0, 0, 3
"c:\dev\hour_flow\lib\core\functions\on_generate_route.dart", "Dart", 16, 0, 3, 19
"c:\dev\hour_flow\lib\core\services\custom_bloc_observer.dart", "Dart", 14, 0, 4, 18
"c:\dev\hour_flow\lib\core\services\shared_preferences_singleton.dart", "Dart", 39, 0, 13, 52
"c:\dev\hour_flow\lib\core\utils\app_colors.dart", "Dart", 4, 0, 2, 6
"c:\dev\hour_flow\lib\core\utils\app_images.dart", "Dart", 13, 21, 12, 46
"c:\dev\hour_flow\lib\features\edit_task\presentation\views\edit_view.dart", "Dart", 12, 0, 2, 14
"c:\dev\hour_flow\lib\features\edit_task\presentation\views\widgets\custom_edit_appbar.dart", "Dart", 38, 0, 5, 43
"c:\dev\hour_flow\lib\features\edit_task\presentation\views\widgets\edit_view_body.dart", "Dart", 32, 5, 5, 42
"c:\dev\hour_flow\lib\features\home_view\presentation\views\home_view.dart", "Dart", 44, 0, 5, 49
"c:\dev\hour_flow\lib\features\home_view\presentation\views\manager\set_data_cubit.dart", "Dart", 43, 0, 11, 54
"c:\dev\hour_flow\lib\features\home_view\presentation\views\manager\set_date_state.dart", "Dart", 10, 0, 7, 17
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\add_new_employee.dart", "Dart", 113, 1, 3, 117
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\borroed_money_widget.dart", "Dart", 61, 0, 5, 66
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\custom_button.dart", "Dart", 53, 0, 5, 58
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\custom_task.dart", "Dart", 110, 0, 3, 113
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\error_widget.dart", "Dart", 58, 0, 4, 62
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\home_view_body.dart", "Dart", 85, 0, 4, 89
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\showBorrowedMoneySheet.dart", "Dart", 103, 0, 4, 107
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\succes_widget.dart", "Dart", 52, 0, 3, 55
"c:\dev\hour_flow\lib\features\home_view\presentation\views\widgets\total_hours.dart", "Dart", 55, 0, 6, 61
"c:\dev\hour_flow\lib\features\splash_view\presentation\views\splash_view.dart", "Dart", 10, 0, 2, 12
"c:\dev\hour_flow\lib\features\splash_view\presentation\views\widgets\splash_view_body.dart", "Dart", 36, 0, 6, 42
"c:\dev\hour_flow\lib\generated\assets.dart", "Dart", 19, 1, 3, 23
"c:\dev\hour_flow\lib\main.dart", "Dart", 34, 0, 4, 38
"Total", "-", 1057, 28, 121, 1206
